gig_url,date,location
/gig:1973-01-03-main-point-bryn-mawr-pa-early,1973-01-03,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-03-main-point-bryn-mawr-pa-late,1973-01-03,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-04-main-point-bryn-mawr-pa-early,1973-01-04,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-04-main-point-bryn-mawr-pa-late,1973-01-04,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-05-main-point-bryn-mawr-pa-early,1973-01-05,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-05-main-point-bryn-mawr-pa-late,1973-01-05,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-06-main-point-bryn-mawr-pa-early,1973-01-06,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-06-main-point-bryn-mawr-pa-late,1973-01-06,"THE MAIN POINT, BRYN MAWR, PA"
/gig:1973-01-08-paul-s-mall-boston-ma-early,1973-01-08,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-08-paul-s-mall-boston-ma-late,1973-01-08,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-09-wbcn-studio-boston-ma,1973-01-09,"RADIO STATION WBCN-FM, BOSTON, MA"
/gig:1973-01-09-paul-s-mall-boston-ma-early,1973-01-09,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-09-paul-s-mall-boston-ma-late,1973-01-09,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-10-paul-s-mall-boston-ma-early,1973-01-10,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-10-paul-s-mall-boston-ma-late,1973-01-10,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-11-paul-s-mall-boston-ma-early,1973-01-11,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-11-paul-s-mall-boston-ma-late,1973-01-11,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-12-paul-s-mall-boston-ma-early,1973-01-12,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-12-paul-s-mall-boston-ma-late,1973-01-12,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-13-paul-s-mall-boston-ma-early,1973-01-13,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-13-paul-s-mall-boston-ma-late,1973-01-13,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-14-paul-s-mall-boston-ma-early,1973-01-14,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-14-paul-s-mall-boston-ma-late,1973-01-14,"PAUL'S MALL, BOSTON, MA"
/gig:1973-01-16-st-mary-s-hall-auditorium-theatre-villanova-p,1973-01-16,"ST. MARY'S HALL AUDITORIUM THEATRE, VILLANOVA UNIVERSITY, VILLANOVA, PA"
/gig:1973-01-18-my-father-s-place-roslyn-ny-early,1973-01-18,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-18-my-father-s-place-roslyn-ny-late,1973-01-18,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-19-my-father-s-place-roslyn-ny-early,1973-01-19,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-19-my-father-s-place-roslyn-ny-late,1973-01-19,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-20-my-father-s-place-roslyn-ny-early,1973-01-20,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-20-my-father-s-place-roslyn-ny-late,1973-01-20,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-21-my-father-s-place-roslyn-ny-early,1973-01-21,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-21-my-father-s-place-roslyn-ny-late,1973-01-21,"MY FATHER'S PLACE, ROSLYN, NY"
/gig:1973-01-24-quiet-knight-chicago-il,1973-01-24,"THE QUIET KNIGHT, CHICAGO, IL"
/gig:1973-01-25-quiet-knight-chicago-il,1973-01-25,"THE QUIET KNIGHT, CHICAGO, IL"
/gig:1973-01-26-quiet-knight-chicago-il,1973-01-26,"THE QUIET KNIGHT, CHICAGO, IL"
/gig:1973-01-27-quiet-knight-chicago-il,1973-01-27,"THE QUIET KNIGHT, CHICAGO, IL"
/gig:1973-01-28-quiet-knight-chicago-il,1973-01-28,"THE QUIET KNIGHT, CHICAGO, IL"
/gig:1973-01-31-max-s-kansas-city-new-york-city-ny-early,1973-01-31,"MAX'S KANSAS CITY, NEW YORK CITY, NY"
/gig:1973-01-31-max-s-kansas-city-new-york-city-ny-late,1973-01-31,"MAX'S KANSAS CITY, NEW YORK CITY, NY"
/gig:1973-02-01-max-s-kansas-city-new-york-city-ny-early,1973-02-01,"MAX'S KANSAS CITY, NEW YORK CITY, NY"
