links,titles,lyrics,album
/song:1945,1945,NA,NA
/song:30-days-out,30 Days Out,NA,NA
/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)","Sandy, the fireworks are hailing over Little Eden tonight Forcing a light into all those stony faces left stranded on this warm July Down in the town, the Circuit's full of switchblade lovers, so fast, so shiny, so sharp As the wizards play down on Pinball Way on the boardwalk way past dark And the boys from the casino dance with their shirts open like Latin lovers on the shore Chasing all them silly New York virgins by the score And Sandy, the aurora is rising behind us This pier lights our carnival life forever Oh, love me tonight, for I may never see you again Hey, Sandy girl My, my, baby Now, the greasers, ah, they tramp the streets or get busted for sleeping on the beach all night Them boys in their high heels, ah, Sandy, their skins are so white And me, I just got tired of hanging in them dusty arcades, banging them pleasure machines Chasing the factory girls underneath the boardwalk where they all promise to unsnap their jeans And you know that tilt-a-whirl down on the south beach drag I got on it last night and my shirt got caught And they kept me spinning, babe, didn't think I'd ever get off Oh, Sandy, the aurora is rising behind us This pier lights our carnival life on the water Running, laughing 'neath the boardwalk, ah, with the boss's daughter I remember, Sandy, girl Na, na, na, na, na, baby Sandy, that waitress I was seeing lost her desire for me I spoke with her last night, she said she won't set herself on fire for me anymore She worked that joint under the boardwalk, she was always the girl you saw bopping down the beach with the radio The kids say last night she was dressed like a star in one of them cheap little seaside bars, and I saw her parked with lover boy out on the Kokomo Did you hear the cops finally busted Madame Marie for telling fortunes better than they do For me this boardwalk life is through, babe You ought to quit this scene too Sandy, the aurora is rising behind us This pier lights our carnival life forever Oh, love me tonight and I promise I'll love you forever Oh, I mean it, Sandy, girl My, my, my, my, my baby Yeah, I promise, Sandy, girl Sha, la, la, la, la, baby","The Wild, The Innocent & The E Street Shuffle"
/song:500-miles,500 Miles,NA,NA
/song:57-channels-and-nothin-on,57 Channels (And Nothin' On),"I bought a bourgeois house in the Hollywood hills With a truckload of hundred thousand dollar bills Man came by to hook up my cable TV We settled in for the night my baby and me We switched 'round and 'round 'til half-past dawn There was fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Well now home entertainment was my baby's wish So I hopped into town for a satellite dish I tied it to the top of my Japanese car I came home and I pointed it out into the stars A message came back from the great beyond There's fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Well we might'a made some friends with some billionaires We might'a got all nice and friendly if we'd made it upstairs All I got was a note that said ""Bye-bye John Our love's fifty-seven channels and nothin' on"" (Fifty-seven channels and nothin' on) So I bought a .44 magnum, it was solid steel cast And in the blessed name of Elvis well I just let it blast 'Til my TV lay in pieces there at my feet And they busted me for disturbin' the almighty peace Judge said ""What you got in your defense son?"" ""Fifty-seven channels and nothin' on"" Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on I can see by your eyes friend you're just about gone Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and nothin' on Fifty-seven channels and…",Human Touch
/song:634-5789-soulsville-u-s-a,"634-5789 (Soulsville, U.S.A.)",NA,NA
/song:96-tears,96 Tears,NA,NA
/song:a-change-is-gonna-come,A Change Is Gonna Come,NA,NA
/song:a-fine-fine-boy-girl,A Fine Fine Boy (Girl),NA,NA
/song:a-good-life,A Good Life,"A-one, two, three, go Daddy always told me money don't mean everything Consider yourself a lucky man, you got a guitar and you still can sing As usual my Daddy was right I got two kids, two cats, a good dog and a lucky hat An old house, a fast car, but I don't go very far I got a beautiful wife and I'm leading a good life Well I wake up in the morning at the crack of dawn, hit the clock before it rings I work hard all day but at quitting time I forget about everything I walk out those doors and back into the light Whoa! Hey! I got two kids, two cats, a good dog and a lucky hat An old house, a fast car, but I don't go very far I got a beautiful wife and I'm leading a good life I'm leading a good life Just because they sign my check that don't mean they own my soul It took me a while to figure it out but Daddy now I know As usual my Daddy was right I have two kids, two cats, a good dog and a lucky hat An old house, a fast car, but I don't go very far I got a beautiful wife and I'm leading a good life I'm living a good life I'm living a good life I'm living a good life Whoa! Whoa! Na-na na-na na-na-na Na-na na-na na-na Na-na na-na na-na-na Na-na na-na na-na Na-na na-na na-na-na Na-na na-na na-na Na-na na-na na-na-na Na-na na-na na-na Na-na na-na na-na-na Na-na na-na na-na Na-na na-na na-na-na Na-na na-na na-na",A Good Life
